    contract_key,contract_id,installer_key,customer_key,status,financing_option,country,region,term_months,interest_rate,principal_amount,origination_date
1,CON-000001,48,790,Active,Subscription,Germany,Lower Saxony,180,8.07,29233.51,04-05-2024
2,CON-000002,5,1468,Defaulted,Standard Loan,Austria,Vienna,84,6.35,24706.81,22-11-2023
3,CON-000003,6,791,Active,Subscription,Netherlands,South Holland,180,6.52,8993.02,28-03-2023
4,CON-000004,21,1315,Active,Standard Loan,Germany,Lower Saxony,180,3.85,10125.77,07-07-2024
5,CON-000005,43,985,Active,Subscription,Netherlands,North Brabant,240,4.15,23481.29,19-08-2022
6,CON-000006,11,533,Active,Subscription,Germany,Baden-Württemberg,120,7.05,25566.86,28-11-2023
7,CON-000007,32,191,Completed,Lease,Germany,Lower Saxony,120,4.51,44670.15,19-02-2024
8,CON-000008,13,431,Active,PPA,Germany,North Rhine-Westphalia,180,5.8,29316.91,02-10-2024
9,CON-000009,24,128,Active,Standard Loan,Germany,Bavaria,120,7.62,39444.22,07-12-2023
10,CON-000010,35,945,Cancelled,Standard Loan,Germany,Lower Saxony,240,4.42,29038.76,15-06-2024
11,CON-000011,44,995,Active,Subscription,Germany,Hesse,120,6.83,10469.52,17-03-2024
12,CON-000012,46,296,Completed,Standard Loan,Netherlands,North Holland,84,5.34,35949.68,03-06-2024
13,CON-000013,9,954,Active,Lease,Germany,Berlin,120,3.87,33695.97,07-01-2023
14,CON-000014,43,1387,Active,Standard Loan,Netherlands,North Brabant,120,7.05,13049.78,22-03-2022
15,CON-000015,24,1138,Active,Standard Loan,Germany,Bavaria,180,5.69,25419.15,12-10-2023
16,CON-000016,43,1028,In Arrears,PPA,Netherlands,North Brabant,120,6.17,22461.43,09-09-2022
17,CON-000017,36,1822,Active,Standard Loan,Austria,Styria,84,7.07,41029.45,30-05-2024
18,CON-000018,4,56,Active,Standard Loan,Germany,Hesse,180,7.08,41189.37,05-03-2024
19,CON-000019,1,1186,Active,Standard Loan,Germany,Bavaria,84,4.75,41623.99,29-07-2024
20,CON-000020,1,805,Completed,Standard Loan,Germany,Bavaria,180,4.6,40644.58,01-05-2024
