invoice_key,contract_key,invoice_date_key,due_date_key,paid_date_key,invoice_date,due_date,paid_date,amount_due,amount_paid,payment_status,principal_amount,interest_amount,invoice_number
1,1,20240504,20240518,,2024-05-04,2024-05-18,,359.0,0.0,Delinquent,162.41,196.6,INV-000001-001
2,1,20240603,20240617,20240624.0,2024-06-03,2024-06-17,2024-06-24,359.0,359.0,Paid,162.41,196.6,INV-000001-002
3,1,20240703,20240717,20240719.0,2024-07-03,2024-07-17,2024-07-19,359.0,359.0,Paid,162.41,196.6,INV-000001-003
4,1,20240802,20240816,20240820.0,2024-08-02,2024-08-16,2024-08-20,359.0,359.0,Paid,162.41,196.6,INV-000001-004
5,1,20240901,20240915,20240918.0,2024-09-01,2024-09-15,2024-09-18,359.0,359.0,Paid,162.41,196.6,INV-000001-005
6,1,20241001,20241015,20241020.0,2024-10-01,2024-10-15,2024-10-20,359.0,359.0,Paid,162.41,196.6,INV-000001-006
7,1,20241031,20241114,20241119.0,2024-10-31,2024-11-14,2024-11-19,359.0,359.0,Paid,162.41,196.6,INV-000001-007
8,1,20241130,20241214,20241219.0,2024-11-30,2024-12-14,2024-12-19,359.0,359.0,Paid,162.41,196.6,INV-000001-008
9,1,20241230,20250113,,2024-12-30,2025-01-13,,359.0,0.0,Pending,162.41,196.6,INV-000001-009
10,2,20231122,20231206,20231210.0,2023-11-22,2023-12-06,2023-12-10,424.87,424.87,Paid,294.13,130.74,INV-000002-001
11,2,20231222,20240105,20240103.0,2023-12-22,2024-01-05,2024-01-03,424.87,424.87,Paid,294.13,130.74,INV-000002-002
12,2,20240121,20240204,20240211.0,2024-01-21,2024-02-04,2024-02-11,424.87,328.81,Partial,294.13,130.74,INV-000002-003
13,2,20240220,20240305,20240303.0,2024-02-20,2024-03-05,2024-03-03,424.87,424.87,Paid,294.13,130.74,INV-000002-004
14,2,20240321,20240404,20240410.0,2024-03-21,2024-04-04,2024-04-10,424.87,424.87,Paid,294.13,130.74,INV-000002-005
15,2,20240420,20240504,20240503.0,2024-04-20,2024-05-04,2024-05-03,424.87,256.62,Partial,294.13,130.74,INV-000002-006
16,2,20240520,20240603,20240604.0,2024-05-20,2024-06-03,2024-06-04,424.87,424.87,Paid,294.13,130.74,INV-000002-007
17,2,20240619,20240703,20240705.0,2024-06-19,2024-07-03,2024-07-05,424.87,424.87,Paid,294.13,130.74,INV-000002-008
18,2,20240719,20240802,20240807.0,2024-07-19,2024-08-02,2024-08-07,424.87,424.87,Paid,294.13,130.74,INV-000002-009
19,2,20240818,20240901,20241115.0,2024-08-18,2024-09-01,2024-11-15,424.87,424.87,Delinquent,294.13,130.74,INV-000002-010
20,2,20240917,20241001,20241006.0,2024-09-17,2024-10-01,2024-10-06,424.87,424.87,Paid,294.13,130.74,INV-000002-011
21,2,20241017,20241031,20241104.0,2024-10-17,2024-10-31,2024-11-04,424.87,424.87,Paid,294.13,130.74,INV-000002-012
22,2,20241116,20241130,20241203.0,2024-11-16,2024-11-30,2024-12-03,424.87,424.87,Paid,294.13,130.74,INV-000002-013
23,2,20241216,20241230,20241227.0,2024-12-16,2024-12-30,2024-12-27,424.87,424.87,Paid,294.13,130.74,INV-000002-014
24,3,20230328,20230411,20230409.0,2023-03-28,2023-04-11,2023-04-09,98.82,98.82,Paid,49.96,48.86,INV-000003-001
25,3,20230427,20230511,20230513.0,2023-04-27,2023-05-11,2023-05-13,98.82,98.82,Paid,49.96,48.86,INV-000003-002
26,3,20230527,20230610,20230616.0,2023-05-27,2023-06-10,2023-06-16,98.82,98.82,Paid,49.96,48.86,INV-000003-003
27,3,20230626,20230710,20230717.0,2023-06-26,2023-07-10,2023-07-17,98.82,98.82,Paid,49.96,48.86,INV-000003-004
28,3,20230726,20230809,20230808.0,2023-07-26,2023-08-09,2023-08-08,98.82,83.04,Partial,49.96,48.86,INV-000003-005
29,3,20230825,20230908,20230914.0,2023-08-25,2023-09-08,2023-09-14,98.82,98.82,Paid,49.96,48.86,INV-000003-006
30,3,20230924,20231008,20231007.0,2023-09-24,2023-10-08,2023-10-07,98.82,98.82,Paid,49.96,48.86,INV-000003-007
31,3,20231024,20231107,20231109.0,2023-10-24,2023-11-07,2023-11-09,98.82,98.82,Paid,49.96,48.86,INV-000003-008
32,3,20231123,20231207,20231207.0,2023-11-23,2023-12-07,2023-12-07,98.82,98.82,Paid,49.96,48.86,INV-000003-009
33,3,20231223,20240106,20240110.0,2023-12-23,2024-01-06,2024-01-10,98.82,87.58,Partial,49.96,48.86,INV-000003-010
34,3,20240122,20240205,20240212.0,2024-01-22,2024-02-05,2024-02-12,98.82,50.7,Partial,49.96,48.86,INV-000003-011
35,3,20240221,20240306,20240313.0,2024-02-21,2024-03-06,2024-03-13,98.82,98.82,Paid,49.96,48.86,INV-000003-012
36,3,20240322,20240405,20240407.0,2024-03-22,2024-04-05,2024-04-07,98.82,98.82,Paid,49.96,48.86,INV-000003-013
37,3,20240421,20240505,20240507.0,2024-04-21,2024-05-05,2024-05-07,98.82,98.82,Paid,49.96,48.86,INV-000003-014
38,3,20240521,20240604,20240605.0,2024-05-21,2024-06-04,2024-06-05,98.82,98.82,Paid,49.96,48.86,INV-000003-015
39,3,20240620,20240704,20240701.0,2024-06-20,2024-07-04,2024-07-01,98.82,98.82,Paid,49.96,48.86,INV-000003-016
40,3,20240720,20240803,20240808.0,2024-07-20,2024-08-03,2024-08-08,98.82,98.82,Paid,49.96,48.86,INV-000003-017
